gene_name,Gene,Weight,Abs Weight
RELN,RELN,0.019481249256173606,0.019481249256173606
LINC02580,LINC02580,0.01947827308976119,0.01947827308976119
MME,MME,0.019471586312973976,0.019471586312973976
ITGA7,ITGA7,0.019467392954145495,0.019467392954145495
SMAD9,SMAD9,0.019463064320628068,0.019463064320628068
ANKRD53,ANKRD53,0.01944795403313489,0.01944795403313489
CPED1,CPED1,0.019445657326780157,0.019445657326780157
NPR1,NPR1,0.019442882248750553,0.019442882248750553
SLC35G2,SLC35G2,0.019442541353982913,0.019442541353982913
MIR100HG,MIR100HG,0.019435961416237258,0.019435961416237258
S1PR1,S1PR1,0.01942795561312547,0.01942795561312547
AC092376.2,AC092376.2,0.01942480000921515,0.01942480000921515
AL445259.1,AL445259.1,0.019422819278821803,0.019422819278821803
LVRN,LVRN,0.019417834212404693,0.019417834212404693
KL,KL,0.019407217164577766,0.019407217164577766
FAM13A,FAM13A,0.019406877759571808,0.019406877759571808
SLC7A14-AS1,SLC7A14-AS1,0.01938446016558934,0.01938446016558934
CKMT2,CKMT2,0.019379700256917518,0.019379700256917518
CA4,CA4,0.019378676125818745,0.019378676125818745
BTNL9,BTNL9,0.019373851038073295,0.019373851038073295
HAND2-AS1,HAND2-AS1,0.019355046871723004,0.019355046871723004
AL356275.1,AL356275.1,0.019350539932561934,0.019350539932561934
IHO1,IHO1,0.01934996458693908,0.01934996458693908
HIF3A,HIF3A,0.01934724892060744,0.01934724892060744
PRRG3,PRRG3,0.019346418470425866,0.019346418470425866
FP325317.1,FP325317.1,0.01933890836792968,0.01933890836792968
ERG,ERG,0.019336163716198174,0.019336163716198174
TAL1,TAL1,0.019320892767185974,0.019320892767185974
ITPRIPL1,ITPRIPL1,0.019305477405695756,0.019305477405695756
AC025569.1,AC025569.1,0.019301985126982352,0.019301985126982352
AC113167.1,AC113167.1,0.019300367213699886,0.019300367213699886
RHOJ,RHOJ,0.019298709798177462,0.019298709798177462
GNG2,GNG2,0.01928736305904104,0.01928736305904104
ABCB5,ABCB5,0.019276949490365444,0.019276949490365444
TMEM132C,TMEM132C,0.019270213560327425,0.019270213560327425
PCDH18,PCDH18,0.01925447070592898,0.01925447070592898
RCBTB2,RCBTB2,0.019251088683394695,0.019251088683394695
AOC4P,AOC4P,0.019248325861255147,0.019248325861255147
IL33,IL33,0.01924295447103596,0.01924295447103596
PDE7B,PDE7B,0.01923881396282232,0.01923881396282232
MAB21L1,MAB21L1,0.019228517310191182,0.019228517310191182
MYH11,MYH11,0.019219469341689298,0.019219469341689298
LRRC70,LRRC70,0.019212205638769266,0.019212205638769266
GLYAT,GLYAT,0.01921131756371226,0.01921131756371226
APOB,APOB,0.0192105559310215,0.0192105559310215
LRIG2-DT,LRIG2-DT,0.019197387079419353,0.019197387079419353
CADM3-AS1,CADM3-AS1,0.019194242416089528,0.019194242416089528
PAK3,PAK3,0.019183552901090375,0.019183552901090375
AL591686.1,AL591686.1,0.01918197206688003,0.01918197206688003
RGL1,RGL1,0.019179446522085506,0.019179446522085506
NKAPL,NKAPL,0.01916646720851264,0.01916646720851264
SCN11A,SCN11A,0.019160747250600484,0.019160747250600484
AC108734.4,AC108734.4,0.019150497708998064,0.019150497708998064
AC004554.1,AC004554.1,0.01914789361385063,0.01914789361385063
CRHBP,CRHBP,0.019145502262032002,0.019145502262032002
AP000821.2,AP000821.2,0.019141104539300936,0.019141104539300936
GAS1RR,GAS1RR,0.019140207560484703,0.019140207560484703
DIPK2B,DIPK2B,0.019131462976727923,0.019131462976727923
PLAGL1,PLAGL1,0.0191271513640723,0.0191271513640723
PDE1C,PDE1C,0.019111327907964458,0.019111327907964458
GDF10,GDF10,0.01911053026093377,0.01911053026093377
IGF1,IGF1,0.019099221080933752,0.019099221080933752
MEF2C,MEF2C,0.019098436781270663,0.019098436781270663
DOCK11,DOCK11,0.019085108423234055,0.019085108423234055
AL356218.2,AL356218.2,0.01906401056112862,0.01906401056112862
AL845321.1,AL845321.1,0.019055727276129635,0.019055727276129635
ZEB2,ZEB2,0.019053011245852028,0.019053011245852028
FOXN3,FOXN3,0.019034421141755114,0.019034421141755114
RECK,RECK,0.019032428694251726,0.019032428694251726
STAB2,STAB2,0.019006615536591796,0.019006615536591796
PTPRB,PTPRB,0.018998070324120764,0.018998070324120764
PAFAH1B3,PAFAH1B3,-0.01899233886667431,0.01899233886667431
GIMAP8,GIMAP8,0.01898807154938822,0.01898807154938822
LRRN4CL,LRRN4CL,0.0189801839261812,0.0189801839261812
RNF150,RNF150,0.018979698185554606,0.018979698185554606
DMGDH,DMGDH,0.018975068368353876,0.018975068368353876
AC006159.1,AC006159.1,0.0189729063659518,0.0189729063659518
AC084212.1,AC084212.1,0.018969113687679347,0.018969113687679347
SCN4B,SCN4B,0.018964128617732525,0.018964128617732525
COL6A6,COL6A6,0.018961495445868365,0.018961495445868365
PAMR1,PAMR1,0.018950227063727572,0.018950227063727572
PCSK5,PCSK5,0.018945441523841932,0.018945441523841932
LHCGR,LHCGR,0.018942840064168045,0.018942840064168045
AL049775.1,AL049775.1,0.0189392399965015,0.0189392399965015
ABI3BP,ABI3BP,0.018902978977722227,0.018902978977722227
PYGM,PYGM,0.018899334757930483,0.018899334757930483
AC093110.1,AC093110.1,0.01889780044932011,0.01889780044932011
AUXG01000058.1,AUXG01000058.1,0.01889270582319898,0.01889270582319898
PRCD,PRCD,0.01885979217867064,0.01885979217867064
AC027329.1,AC027329.1,0.018844466835100923,0.018844466835100923
LINC02082,LINC02082,0.01884272219780231,0.01884272219780231
NNAT,NNAT,0.018842453126687222,0.018842453126687222
ACTA2-AS1,ACTA2-AS1,0.018842124051144354,0.018842124051144354
SAMD5,SAMD5,0.018840945551399854,0.018840945551399854
EMCN,EMCN,0.018834026293450105,0.018834026293450105
CYRIA,CYRIA,0.01882873098894367,0.01882873098894367
ITM2A,ITM2A,0.01882353378988777,0.01882353378988777
PPARG,PPARG,0.018819762536494776,0.018819762536494776
PGM5,PGM5,0.01881489855381385,0.01881489855381385
LGR4-AS1,LGR4-AS1,0.018812683696759674,0.018812683696759674
HPSE2,HPSE2,0.018804555358838956,0.018804555358838956
MEIS2,MEIS2,0.01880260054904439,0.01880260054904439
SCN9A,SCN9A,0.018789871106045134,0.018789871106045134
LRRC3B,LRRC3B,0.018789732426990502,0.018789732426990502
LINC01589,LINC01589,0.018782038110929766,0.018782038110929766
TSBP1-AS1,TSBP1-AS1,0.018779526266105205,0.018779526266105205
RHOXF1-AS1,RHOXF1-AS1,0.01877559387615487,0.01877559387615487
TCEAL7,TCEAL7,0.01876361851221605,0.01876361851221605
CLEC1A,CLEC1A,0.018760764369079176,0.018760764369079176
AC002546.1,AC002546.1,0.018756639524656348,0.018756639524656348
SLC19A3,SLC19A3,0.01875286195467376,0.01875286195467376
SCN3B,SCN3B,0.01874234271148209,0.01874234271148209
AP001528.1,AP001528.1,0.01874034113365116,0.01874034113365116
CNRIP1,CNRIP1,0.01873989765979527,0.01873989765979527
CNTNAP3B,CNTNAP3B,0.018733122646070476,0.018733122646070476
ZC3H12B,ZC3H12B,0.018731139221164345,0.018731139221164345
PSAT1P3,PSAT1P3,0.018714502351542744,0.018714502351542744
Z97989.1,Z97989.1,0.01871009677181676,0.01871009677181676
AC025268.1,AC025268.1,0.01869816115875424,0.01869816115875424
LINC01070,LINC01070,0.018696033174581277,0.018696033174581277
SPRY1,SPRY1,0.018694918337083623,0.018694918337083623
CDO1,CDO1,0.018694219008737818,0.018694219008737818
MSRB3,MSRB3,0.018688208631687422,0.018688208631687422
RSPO3,RSPO3,0.018687577377225685,0.018687577377225685
AC093535.2,AC093535.2,0.01867782433115824,0.01867782433115824
GALNT15,GALNT15,0.018676622934624035,0.018676622934624035
ADIPOQ-AS1,ADIPOQ-AS1,0.018670935139034308,0.018670935139034308
BOC,BOC,0.018670726029612054,0.018670726029612054
PROX1,PROX1,0.018668982557959922,0.018668982557959922
PDK4,PDK4,0.018667006539166645,0.018667006539166645
PDZD2,PDZD2,0.01866635494990092,0.01866635494990092
SLC17A7,SLC17A7,0.01866305042443504,0.01866305042443504
LIFR,LIFR,0.01865491162165505,0.01865491162165505
LRFN5,LRFN5,0.018654602397158465,0.018654602397158465
GRIN2B,GRIN2B,0.018652765428441843,0.018652765428441843
LMO7DN,LMO7DN,0.018644554338193283,0.018644554338193283
C20orf194,C20orf194,0.018641903709467684,0.018641903709467684
PGAP4,PGAP4,0.018639693485146974,0.018639693485146974
SLC7A14,SLC7A14,0.018634827840176907,0.018634827840176907
B3GALT1,B3GALT1,0.018623989655520815,0.018623989655520815
SOBP,SOBP,0.018616014679692948,0.018616014679692948
ADAM33,ADAM33,0.01861591780904131,0.01861591780904131
PELI2,PELI2,0.018610599006439632,0.018610599006439632
LINC00924,LINC00924,0.01861058221289016,0.01861058221289016
PTGFR,PTGFR,0.01860372401915736,0.01860372401915736
FGF7,FGF7,0.018585279457863913,0.018585279457863913
Z99289.1,Z99289.1,0.018584873732435447,0.018584873732435447
LINC01474,LINC01474,0.01858356825105145,0.01858356825105145
AC103591.2,AC103591.2,0.018574053280218637,0.018574053280218637
CNKSR2,CNKSR2,0.01856919237368681,0.01856919237368681
EDNRB,EDNRB,0.01856417433234964,0.01856417433234964
EGFR,EGFR,0.018560021473014894,0.018560021473014894
ANTXR2,ANTXR2,0.018555166563745906,0.018555166563745906
PKMYT1,PKMYT1,-0.018552289027934214,0.018552289027934214
AL035670.1,AL035670.1,0.018548826718524435,0.018548826718524435
ANXA1,ANXA1,0.018547224479043285,0.018547224479043285
AC108053.1,AC108053.1,0.018545183394523965,0.018545183394523965
BACH2,BACH2,0.018544737755194322,0.018544737755194322
TRHDE,TRHDE,0.01854414061387935,0.01854414061387935
CREB5,CREB5,0.01854221746653181,0.01854221746653181
CCDC178,CCDC178,0.018530490379304296,0.018530490379304296
SH3D19,SH3D19,0.018530455919936885,0.018530455919936885
ANGPT1,ANGPT1,0.018527264966932525,0.018527264966932525
SYNE1,SYNE1,0.018514232381617726,0.018514232381617726
AASS,AASS,0.018513692884990066,0.018513692884990066
LINC01497,LINC01497,0.01851147959193081,0.01851147959193081
LINCADL,LINCADL,0.018502295162165002,0.018502295162165002
LINC02066,LINC02066,0.01849044272474802,0.01849044272474802
MMRN1,MMRN1,0.018490429289783346,0.018490429289783346
PLCXD3,PLCXD3,0.018485696806285912,0.018485696806285912
SRPX,SRPX,0.018473791276833237,0.018473791276833237
EOGT,EOGT,0.01847314823080773,0.01847314823080773
TEDC2,TEDC2,-0.018472930774627527,0.018472930774627527
CCL16,CCL16,0.01847102447433224,0.01847102447433224
AC104088.3,AC104088.3,0.01846929652708033,0.01846929652708033
AC108477.1,AC108477.1,0.0184640544384789,0.0184640544384789
PID1,PID1,0.018463821276361866,0.018463821276361866
LINC01140,LINC01140,0.018463477973512523,0.018463477973512523
SPARCL1,SPARCL1,0.01845354315541035,0.01845354315541035
MYH1,MYH1,0.01843747939762846,0.01843747939762846
ECM2,ECM2,0.01843517752283533,0.01843517752283533
PLPP1,PLPP1,0.018432100312176847,0.018432100312176847
SLC22A3,SLC22A3,0.018430963497076958,0.018430963497076958
GIMAP5,GIMAP5,0.018423488759377153,0.018423488759377153
KCNA2,KCNA2,0.01842346246047285,0.01842346246047285
PKD2,PKD2,0.018412342293494786,0.018412342293494786
ADGRB3,ADGRB3,0.018411641501874323,0.018411641501874323
EPB41L2,EPB41L2,0.01840836733259181,0.01840836733259181
CCND2-AS1,CCND2-AS1,0.018400328091783786,0.018400328091783786
